node,degree,weighted_degree,betweenness,pagerank,closeness,eigenvector,community
"Poole, S",1,9.0,0.0,0.007462686567164179,0.007518796992481203,6.265973905443973e-20,18
"Scarpelli, M",1,9.0,0.0,0.002424535742363134,0.029001074113856065,4.18957914742771e-07,3
"Wester, HJ",1,9.0,0.0,0.004399523001544642,0.015037593984962405,5.488216339331028e-15,7
"Toncheva, G",1,9.0,0.0,0.007462686567164179,0.007518796992481203,6.265973905443973e-20,19
"Yoshizumi, TT",1,9.0,0.0,0.007462686567164179,0.007518796992481203,6.265973905443973e-20,19
"Mishima, F",1,9.0,0.0,0.007462686567164179,0.007518796992481203,6.265973905443973e-20,20
"Nishijima, S",1,9.0,0.0,0.007462686567164179,0.007518796992481203,6.265973905443973e-20,20
"Wiest, J",1,9.0,0.0,0.0035414963668947636,0.017185821697099892,4.37611722691249e-12,6
"Keku, TO",1,8.0,0.0,0.007462686567164179,0.007518796992481203,1.0449878534645851e-20,21
"Sandler, RS",1,8.0,0.0,0.007462686567164179,0.007518796992481203,1.0449878534645851e-20,21
"Varambally, S",1,8.0,0.0,0.005026085959447321,0.011278195488721804,4.486817801521677e-17,12
"Yang, DY",1,8.0,0.0,0.0018014621075953291,0.07142857142857142,0.02975762316291355,0
"Molls, M",1,8.0,0.0,0.004068540435038241,0.015037593984962405,4.689882192019261e-15,7
"Groshen, S",1,8.0,0.0,0.0018014621075953291,0.07142857142857142,0.02975762316291355,0
"Chang, CY",1,7.0,0.0,0.0029824825128923413,0.034176349965823645,4.276988858634206e-11,1
"Lahoutte, T",1,7.0,0.0,0.005751850369574759,0.010025062656641603,2.30010052247837e-19,17
"Fojt, L",1,7.0,0.0,0.005751850369574759,0.010025062656641603,2.30010052247837e-19,15
"Wang, YL",1,7.0,0.0,0.0029824825128923413,0.034176349965823645,4.276988858634206e-11,1
"Ressler, J",1,7.0,0.0,0.0030032533931569553,0.017185821697099892,3.403646732043047e-12,6
"Furumoto, S",1,7.0,0.0,0.007462686567164179,0.007518796992481203,1.4109718872835362e-21,22
"Iwata, R",1,7.0,0.0,0.007462686567164179,0.007518796992481203,1.4109718872835362e-21,22
"Mertens, J",1,7.0,0.0,0.005751850369574759,0.010025062656641603,2.30010052247837e-19,17
"Buck, A",1,7.0,0.0,0.007462686567164179,0.007518796992481203,1.4109718872835362e-21,23
"Weber, B",1,7.0,0.0,0.007462686567164179,0.007518796992481203,1.4109718872835362e-21,23
"Wieland, WF",1,7.0,0.0,0.003245483399145966,0.017088174982911822,6.942565721083085e-13,5
"Shah, RB",1,7.0,0.0,0.004584153496282989,0.011278195488721804,3.731775259671531e-17,12
"Rummel, C",1,7.0,0.0,0.0033097232542167888,0.013533834586466164,5.2396909842375346e-14,13
"Strasak, L",1,7.0,0.0,0.005751850369574759,0.010025062656641603,2.30010052247837e-19,15
"Tatsch, K",1,7.0,0.0,0.007462686567164179,0.007518796992481203,1.4109718872835362e-21,24
"Tonn, JC",1,7.0,0.0,0.007462686567164179,0.007518796992481203,1.4109718872835362e-21,24
"Alam, MA",1,7.0,0.0,0.007462686567164179,0.007518796992481203,1.4109718872835362e-21,25
"Nair, PR",1,7.0,0.0,0.007462686567164179,0.007518796992481203,1.4109718872835362e-21,25
"Wang, HT",1,7.0,0.0,0.003736920380183608,0.025926886180969666,8.966207314012587e-12,1
"Lewis, JS",1,7.0,0.0,0.007462686567164179,0.007518796992481203,1.4109718872835362e-21,26
"Welch, MJ",1,7.0,0.0,0.007462686567164179,0.007518796992481203,1.4109718872835362e-21,26
"Lieber, CM",1,7.0,0.0,0.007462686567164179,0.007518796992481203,1.4109718872835362e-21,27
"Patolsky, F",1,7.0,0.0,0.007462686567164179,0.007518796992481203,1.4109718872835362e-21,27
"Rajagopal, P",1,7.0,0.0,0.0029517032789999438,0.03132832080200501,3.829122124748078e-11,1
"Roberts, JC",1,7.0,0.0,0.0029517032789999438,0.03132832080200501,3.829122124748078e-11,1
"Liu, RS",1,7.0,0.0,0.007462686567164179,0.007518796992481203,1.4109718872835362e-21,28
"Wang, HE",1,7.0,0.0,0.007462686567164179,0.007518796992481203,1.4109718872835362e-21,28
