source,target,weight
WOS:000229432000031,WOS:000231816500033,38.0
WOS:000272464700030,WOS:000274166300002,38.0
WOS:000256491100005,WOS:000261916100004,38.0
WOS:000240029400014,WOS:000241520100006,38.0
WOS:000244738500005,WOS:000247535500013,38.0
WOS:000226138700002,WOS:000237053500001,38.0
WOS:000246258600007,WOS:000273331300002,38.0
WOS:000183999100003,WOS:000227636200010,38.0
WOS:000230159200004,WOS:000271944600003,38.0
WOS:000246204900003,WOS:000252863300017,38.0
WOS:000260555100009,WOS:000261086700023,38.0
WOS:000231623500014,WOS:000263658300002,38.0
WOS:000253220900002,WOS:000270079800015,38.0
WOS:000229167400011,WOS:000234551000008,37.0
WOS:000165526100006,WOS:000176834800014,37.0
WOS:000261086700015,WOS:000266503900007,37.0
WOS:000243299200047,WOS:000297649900004,37.0
WOS:000245215500010,WOS:000249745200012,37.0
WOS:000173969500004,WOS:000181490600001,37.0
WOS:000188424000004,WOS:000249921200005,37.0
WOS:000232874200002,WOS:000236106000001,37.0
WOS:000251520800013,WOS:000252453600003,37.0
WOS:000177157400021,WOS:000223117600008,36.0
WOS:000183818200001,WOS:000270577600005,36.0
WOS:000256491100005,WOS:000272116100003,36.0
WOS:000256491100004,WOS:000259368000003,36.0
WOS:000227636200010,WOS:000243299200047,36.0
WOS:000265030000015,WOS:000307649400004,35.0
WOS:000251430000004,WOS:000260015500005,35.0
WOS:000208667700004,WOS:000278139100009,35.0
WOS:000235031400003,WOS:000264608400009,35.0
WOS:000175594700011,WOS:000232712600004,35.0
WOS:000183999100003,WOS:000297649900004,35.0
WOS:000244885300003,WOS:000247063300003,35.0
WOS:000227381400002,WOS:000236243700003,35.0
WOS:000233683500004,WOS:000244146100003,35.0
