source,target,weight
"Langen, KJ","Reifenberger, G",9.0
"Mishima, F","Nishijima, S",9.0
"Eble, JN","Zhang, SB",9.0
"Roy, HK","Turzhitsky, V",9.0
"Backman, V","Turzhitsky, V",9.0
"Wiest, J","Wolf, B",9.0
"Denzinger, S","Stoehr, R",9.0
"Elsinga, PH","Jager, PL",9.0
"Hartmann, A","Knuechel, R",9.0
"Kim, YL","Wali, RK",9.0
"Kawasaki, T","Ogino, S",8.0
"Keku, TO","Sandler, RS",8.0
"Kirkner, GJ","Ogino, S",8.0
"Kuramochi, H","Uchida, K",8.0
"Linthicum, KJ","Pearton, SJ",8.0
"Linthicum, KJ","Piner, EL",8.0
"Linthicum, KJ","Ren, F",8.0
"Lopez-Beltran, A","Wang, MS",8.0
"Chinnaiyan, AM","Varambally, S",8.0
"Lord, RV","Schneider, PM",8.0
"MacLennan, GT","Zhang, SB",8.0
"Elsinga, PH","Hoekstra, HJ",8.0
"Eble, JN","Wang, MS",8.0
"Pauleit, D","Reifenberger, G",8.0
"Backman, V","Taflove, A",8.0
"Danenberg, KD","Lord, RV",8.0
"Eble, JN","MacLennan, GT",8.0
"Pearton, SJ","Piner, EL",8.0
"Piner, EL","Ren, F",8.0
"Schneider, PM","Vallbohmer, D",8.0
"Wang, MS","Zhang, SB",8.0
"Danenberg, PV","Park, JM",8.0
"Buck, AK","Glatting, G",8.0
"Floeth, FW","Pauleit, D",8.0
"Danenberg, KD","Yang, DY",8.0
"Grosu, AL","Molls, M",8.0
"Danenberg, KD","Groshen, S",8.0
"Eble, JN","Lopez-Beltran, A",8.0
"Hoekstra, HJ","Jager, PL",8.0
"Hoekstra, HJ","Suurmeijer, AJH",8.0
"Holscher, AH","Lord, RV",8.0
"Floeth, FW","Langen, KJ",8.0
"Jager, PL","Suurmeijer, AJH",8.0
"Johnson, JW","Linthicum, KJ",8.0
"DeMeester, SR","Peters, JH",8.0
"Fuchs, CS","Kawasaki, T",8.0
"Johnson, JW","Pearton, SJ",8.0
"Brabender, J","Lord, RV",8.0
"Elsinga, PH","Suurmeijer, AJH",8.0
"Fuchs, CS","Kirkner, GJ",8.0
"Johnson, JW","Piner, EL",8.0
"DeMeester, SR","DeMeester, TR",8.0
"Johnson, JW","Ren, F",8.0
"Kawasaki, T","Kirkner, GJ",8.0
"Cobben, DCP","Elsinga, PH",7.0
"Chang, CY","Ren, F",7.0
"Danenberg, PV","Lord, RV",7.0
"Bossuyt, A","Lahoutte, T",7.0
"Fojt, L","Vetterl, V",7.0
"Ren, F","Wang, YL",7.0
"Kang, BS","Ren, F",7.0
"Glatting, G","Neumaier, B",7.0
"Holscher, AH","Park, JM",7.0
"Ressler, J","Wolf, B",7.0
"Fong, WP","Ng, DKP",7.0
"Floeth, F","Langen, KJ",7.0
"Furumoto, S","Iwata, R",7.0
"Fong, WP","Lo, PC",7.0
"Schneider, S","Uchida, K",7.0
"Brabender, J","Park, JM",7.0
"Coenen, HH","Floeth, F",7.0
"Bossuyt, A","Mertens, J",7.0
"Bauskin, AR","Breit, SN",7.0
"Buck, A","Weber, B",7.0
"Burger, M","Wieland, WF",7.0
"Shah, RB","Tomlins, SA",7.0
"Bauskin, AR","Brown, DA",7.0
"Hubschle, T","Rummel, C",7.0
"Burger, M","Denzinger, S",7.0
"Grosu, AL","Schwaiger, M",7.0
"Knuechel, R","Stoehr, R",7.0
"Strasak, L","Vetterl, V",7.0
"Tatsch, K","Tonn, JC",7.0
"Alam, MA","Nair, PR",7.0
"Kunte, DP","Roy, HK",7.0
"Kang, BS","Wang, HT",7.0
"Kunte, DP","Wali, RK",7.0
"Jones, TD","Wang, MS",7.0
"Buck, AK","Neumaier, B",7.0
"Burger, M","Stoehr, R",7.0
"Lewis, JS","Welch, MJ",7.0
"Li, X","Taflove, A",7.0
"Lieber, CM","Patolsky, F",7.0
