community,n_nodes,mean_weighted_degree,mean_betweenness,mean_pagerank,mean_closeness,mean_eigenvector,total_weighted_degree,top_node,pct_nodes
40,2,75.0,0.0,0.003952569169960474,0.003968253968253968,1.2207135997628855e-19,150.0,WOS:000267776700011; WOS:000268026600011,0.8
41,2,73.0,0.0,0.003952569169960474,0.003968253968253968,6.610445276670807e-20,146.0,WOS:000263631700002; WOS:000265698500006,0.8
42,2,73.0,0.0,0.003952569169960474,0.003968253968253968,6.610445276670807e-20,146.0,WOS:000245612300002; WOS:000261094900002,0.8
43,2,71.0,0.0,0.003952569169960474,0.003968253968253968,3.520047941858904e-20,142.0,WOS:000261597400015; WOS:000267127900009,0.8
44,2,68.0,0.0,0.003952569169960474,0.003968253968253968,1.3226052659064149e-20,136.0,WOS:000260291400013; WOS:000271547900016,0.8
45,2,68.0,0.0,0.003952569169960474,0.003968253968253968,1.3226052659064149e-20,136.0,WOS:000240381200014; WOS:000260900100002,0.8
46,2,66.0,0.0,0.003952569169960474,0.003968253968253968,6.7239058339586706e-21,132.0,WOS:000246480000004; WOS:000253396900017,0.8
47,2,66.0,0.0,0.003952569169960474,0.003968253968253968,6.7239058339586706e-21,132.0,WOS:000243220300006; WOS:000252138400010,0.8
48,2,60.0,0.0,0.003952569169960474,0.003968253968253968,7.771187110381078e-22,120.0,WOS:000259721000004; WOS:000270199100003,0.8
49,2,58.0,0.0,0.003952569169960474,0.003968253968253968,3.60991875955764e-22,116.0,WOS:000245564000015; WOS:000249894400003,0.8
50,2,58.0,0.0,0.003952569169960474,0.003968253968253968,3.60991875955764e-22,116.0,WOS:000259506400006; WOS:000275598000006,0.8
51,2,57.0,0.0,0.003952569169960474,0.003968253968253968,2.436379925534982e-22,114.0,WOS:000251085800011; WOS:000254571000004,0.8
52,2,55.0,0.0,0.003952569169960474,0.003968253968253968,1.0869905830899058e-22,110.0,WOS:000259377800003; WOS:000268952100004,0.8
53,2,54.0,0.0,0.003952569169960474,0.003968253968253968,7.181960610567922e-23,108.0,WOS:000243674300002; WOS:000245565500013,0.8
54,2,51.0,0.0,0.003952569169960474,0.003968253968253968,1.9768697875241275e-23,102.0,WOS:000231240000002; WOS:000234894100004,0.8
55,2,51.0,0.0,0.003952569169960474,0.003968253968253968,1.9768697875241275e-23,102.0,WOS:000270457600068; WOS:000272592300034,0.8
56,2,49.0,0.0,0.003952569169960472,0.003968253968253968,8.020681303390767e-24,98.0,WOS:000252894700035; WOS:000256640500004,0.8
57,2,49.0,0.0,0.003952569169960472,0.003968253968253968,8.020681303390767e-24,98.0,WOS:000224370600003; WOS:000237268700005,0.8
58,2,48.0,0.0,0.003952569169960474,0.003968253968253968,5.039773297993916e-24,96.0,WOS:000221223000011; WOS:000223194500006,0.8
59,2,46.0,0.0,0.003952569169960474,0.003968253968253968,1.9326441347465495e-24,92.0,WOS:000250642500022; WOS:000260246400008,0.8
60,2,45.0,0.0,0.003952569169960474,0.003968253968253968,1.178504619523504e-24,90.0,WOS:000238665200010; WOS:000243784100015,0.8
61,2,44.0,0.0,0.003952569169960474,0.003968253968253968,7.1086802069406075e-25,88.0,WOS:000265128900007; WOS:000317587300005,0.8
62,2,44.0,0.0,0.003952569169960474,0.003968253968253968,7.1086802069406075e-25,88.0,WOS:000258493900001; WOS:000285752800039,0.8
63,2,44.0,0.0,0.003952569169960474,0.003968253968253968,7.1086802069406075e-25,88.0,WOS:000237050100002; WOS:000243249200001,0.8
64,2,44.0,0.0,0.003952569169960474,0.003968253968253968,7.1086802069406075e-25,88.0,WOS:000221409600001; WOS:000226663800059,0.8
65,2,43.0,0.0,0.003952569169960474,0.003968253968253968,4.239481258579497e-25,86.0,WOS:000233711300021; WOS:000241162000011,0.8
66,2,42.0,0.0,0.003952569169960474,0.003968253968253968,2.498478628207999e-25,84.0,WOS:000242488800013; WOS:000313830000085,0.8
67,2,41.0,0.0,0.003952569169960474,0.003968253968253968,1.4542358264733644e-25,82.0,WOS:000255448700042; WOS:000261423600010,0.8
68,2,40.0,0.0,0.003952569169960474,0.003968253968253968,8.354680862726448e-26,80.0,WOS:000246326800004; WOS:000262456700010,0.8
69,2,40.0,0.0,0.003952569169960474,0.003968253968253968,8.354680862726448e-26,80.0,WOS:000265357800014; WOS:000269067000010,0.8
70,2,40.0,0.0,0.003952569169960474,0.003968253968253968,8.354680862726448e-26,80.0,WOS:000264748800001; WOS:000268990500006,0.8
71,2,40.0,0.0,0.003952569169960474,0.003968253968253968,8.354680862726448e-26,80.0,WOS:000244638400019; WOS:000249319100006,0.8
72,2,40.0,0.0,0.003952569169960474,0.003968253968253968,8.354680862726448e-26,80.0,WOS:000178629500006; WOS:000223372700017,0.8
73,2,39.0,0.0,0.003952569169960474,0.003968253968253968,4.734574569613971e-26,78.0,WOS:000226461500009; WOS:000229015500045,0.8
74,2,39.0,0.0,0.003952569169960474,0.003968253968253968,4.734574569613971e-26,78.0,WOS:000221786900058; WOS:000224315600010,0.8
75,2,39.0,0.0,0.003952569169960474,0.003968253968253968,4.734574569613971e-26,78.0,WOS:000247967800001; WOS:000257527100013,0.8
76,2,38.0,0.0,0.003952569169960474,0.003968253968253968,2.644765202213894e-26,76.0,WOS:000229432000031; WOS:000231816500033,0.8
77,2,38.0,0.0,0.003952569169960474,0.003968253968253968,2.644765202213894e-26,76.0,WOS:000272464700030; WOS:000274166300002,0.8
78,2,38.0,0.0,0.003952569169960474,0.003968253968253968,2.644765202213894e-26,76.0,WOS:000240029400014; WOS:000241520100006,0.8
79,2,38.0,0.0,0.003952569169960474,0.003968253968253968,2.644765202213894e-26,76.0,WOS:000244738500005; WOS:000247535500013,0.8
80,2,38.0,0.0,0.003952569169960474,0.003968253968253968,2.644765202213894e-26,76.0,WOS:000246204900003; WOS:000252863300017,0.8
81,2,38.0,0.0,0.003952569169960474,0.003968253968253968,2.644765202213894e-26,76.0,WOS:000260555100009; WOS:000261086700023,0.8
82,2,38.0,0.0,0.003952569169960474,0.003968253968253968,2.644765202213894e-26,76.0,WOS:000231623500014; WOS:000263658300002,0.8
83,2,37.0,0.0,0.003952569169960474,0.003968253968253968,1.455204009727103e-26,74.0,WOS:000229167400011; WOS:000234551000008,0.8
84,2,37.0,0.0,0.003952569169960474,0.003968253968253968,1.455204009727103e-26,74.0,WOS:000165526100006; WOS:000176834800014,0.8
85,2,37.0,0.0,0.003952569169960474,0.003968253968253968,1.455204009727103e-26,74.0,WOS:000261086700015; WOS:000266503900007,0.8
86,2,37.0,0.0,0.003952569169960474,0.003968253968253968,1.455204009727103e-26,74.0,WOS:000188424000004; WOS:000249921200005,0.8
87,2,37.0,0.0,0.003952569169960474,0.003968253968253968,1.455204009727103e-26,74.0,WOS:000251520800013; WOS:000252453600003,0.8
88,2,36.0,0.0,0.003952569169960474,0.003968253968253968,7.880264850462446e-27,72.0,WOS:000256491100004; WOS:000259368000003,0.8
89,2,35.0,0.0,0.003952569169960474,0.003968253968253968,4.196224143336897e-27,70.0,WOS:000265030000015; WOS:000307649400004,0.8
90,2,35.0,0.0,0.003952569169960474,0.003968253968253968,4.196224143336897e-27,70.0,WOS:000251430000004; WOS:000260015500005,0.8
91,2,35.0,0.0,0.003952569169960474,0.003968253968253968,4.196224143336897e-27,70.0,WOS:000208667700004; WOS:000278139100009,0.8
92,2,35.0,0.0,0.003952569169960474,0.003968253968253968,4.196224143336897e-27,70.0,WOS:000175594700011; WOS:000232712600004,0.8
93,2,35.0,0.0,0.003952569169960474,0.003968253968253968,4.196224143336897e-27,70.0,WOS:000227381400002; WOS:000236243700003,0.8
