source,target,weight
Chen SH_2025_J INTELL MANUF,Yu NG_2023_CAAI T INTELL TECHNO,3.0
Banerjee S_2013_ICCAD-IEEE ACM INT,Gao JR_2014_DES AUT CON,3.0
Gou JP_2021_INT J COMPUT VISION,Vaswani A_2017_ADV NEUR IN,3.0
Carion N_2020_Img Proc Comp Vis Re,Zheng SX_2021_PROC CVPR IEEE,3.0
Hsu CY_2022_IEEE T SEMICONDUCT M,Wu SM_2021_CONTROL ENG PRACT,3.0
Hou XN_2024_IEEE T SEMICONDUCT M,Wu MJ_2015_IEEE T SEMICONDUCT M,3.0
Bieniek A_2000_PATTERN RECOGN,Siméoni O_2021_Arxiv,3.0
Chan TF_2001_IEEE T IMAGE PROCESS,Peng SD_2020_PROC CVPR IEEE,3.0
Chan TF_2001_IEEE T IMAGE PROCESS,Yang Y_2022_PROC SPIE,3.0
Chen SH_2023_EXPERT SYST APPL,Wei YX_2022_IEEE T SEMICONDUCT M,3.0
Fan SKS_2024_INT J PROD ECON,Wu MJ_2015_IEEE T SEMICONDUCT M,3.0
Chen SH_2023_EXPERT SYST APPL,Woo SH_2018_LECT NOTES COMPUT SC,3.0
He KM_2016_PROC CVPR IEEE,Ronneberger O_2015_LECT NOTES COMPUT SC,3.0
Bieniek A_2000_PATTERN RECOGN,Yang Y_2022_PROC SPIE,3.0
Carion N_2020_Img Proc Comp Vis Re,He KM_2016_PROC CVPR IEEE,3.0
Boykov Y_2006_INT J COMPUT VISION,Gunn SR_1997_IEEE T PATTERN ANAL,3.0
Caron M_2021_2021 IEEE/CVF INTERNATIONAL CONFERENCE ON COMPUTER VISION (ICCV 2021),Siméoni O_2021_Arxiv,3.0
Gao JR_2014_DES AUT CON,Jiang BT_2022_IEEE T COMPUT AID D,3.0
Dosovitskiy A_2021_Arxiv,Zheng SX_2021_PROC CVPR IEEE,3.0
Gunn SR_1997_IEEE T PATTERN ANAL,Siméoni O_2021_Arxiv,3.0
Goodfellow IJ_2014_ADV NEUR IN,Vaswani A_2017_ADV NEUR IN,3.0
Dosovitskiy A_2021_Arxiv,Hendrycks D_2020_Arxiv,3.0
Castrejón L_2017_PROC CVPR IEEE,Siméoni O_2021_Arxiv,3.0
Alon N_2015_PROCEEDINGS OF THE TWENTY-FOURTH INTERNATIONAL JOINT CONFERENCE ON ARTIFICIAL INTELLIGENCE (IJCAI),Ren SQ_2017_IEEE T PATTERN ANAL,3.0
He KM_2016_PROC CVPR IEEE,Vaswani Ashish_2017_[No title captured],3.0
Boykov Y_2006_INT J COMPUT VISION,Yang Y_2022_PROC SPIE,3.0
He KM_2016_PROC CVPR IEEE,Saqlain M_2020_IEEE T SEMICONDUCT M,3.0
Chen SH_2023_EXPERT SYST APPL,Yu JB_2022_IEEE T IND INFORM,3.0
Caron M_2021_2021 IEEE/CVF INTERNATIONAL CONFERENCE ON COMPUTER VISION (ICCV 2021),Castrejón L_2017_PROC CVPR IEEE,3.0
Caron M_2021_2021 IEEE/CVF INTERNATIONAL CONFERENCE ON COMPUTER VISION (ICCV 2021),Chan TF_2001_IEEE T IMAGE PROCESS,3.0
Alawieh MB_2020_DES AUT CON,Cheon S_2019_IEEE T SEMICONDUCT M,3.0
COOTES TF_1995_COMPUT VIS IMAGE UND,Yang Y_2022_PROC SPIE,3.0
Goodfellow I_2020_COMMUN ACM,Vaswani A_2017_ADV NEUR IN,3.0
COOTES TF_1995_COMPUT VIS IMAGE UND,NAJMAN L_1994_SIGNAL PROCESS,3.0
Chen SH_2023_EXPERT SYST APPL,Hou XN_2024_IEEE T SEMICONDUCT M,3.0
Gunn SR_1997_IEEE T PATTERN ANAL,NAJMAN L_1994_SIGNAL PROCESS,3.0
COOTES TF_1995_COMPUT VIS IMAGE UND,Peng SD_2020_PROC CVPR IEEE,3.0
Caron M_2021_2021 IEEE/CVF INTERNATIONAL CONFERENCE ON COMPUTER VISION (ICCV 2021),Yang Y_2022_PROC SPIE,3.0
Chen J._2021_arXiv,Dosovitskiy A_2021_Arxiv,3.0
Hsu CY_2022_IEEE T SEMICONDUCT M,Liu CD_2021_IEEE T SEMICONDUCT M,3.0
Gunn SR_1997_IEEE T PATTERN ANAL,Juan Olivier._2006_P CVPR,3.0
Castrejón L_2017_PROC CVPR IEEE,Yang Y_2022_PROC SPIE,3.0
He KM_2016_PROC CVPR IEEE,Yu JB_2021_IEEE T IND ELECTRON,3.0
Gunn SR_1997_IEEE T PATTERN ANAL,Yang Y_2022_PROC SPIE,3.0
Banerjee S_2013_ICCAD-IEEE ACM INT,Su YH_2016_IEEE T COMPUT AID D,3.0
Cheon S_2019_IEEE T SEMICONDUCT M,Liu Z_2021_2021 IEEE/CVF INTERNATIONAL CONFERENCE ON COMPUTER VISION (ICCV 2021),3.0
He KM_2016_PROC CVPR IEEE,Touvron H_2021_PR MACH LEARN RES,3.0
Gao JR_2014_DES AUT CON,Kuang J_2015_DES AUT TEST EUROPE,3.0
Dosovitskiy A_2021_Arxiv,Tsai TH_2020_IEEE T SEMICONDUCT M,3.0
Chen SH_2024_EXPERT SYST APPL,Wang A_2024_Arxiv,3.0
Banerjee S_2013_ICCAD-IEEE ACM INT,Wang QJ_2022_PROCEEDINGS OF THE 59TH ACM/IEEE DESIGN AUTOMATION CONFERENCE,3.0
Boykov Y_2006_INT J COMPUT VISION,Juan Olivier._2006_P CVPR,3.0
He KM_2016_PROC CVPR IEEE,Wei YX_2022_IEEE T SEMICONDUCT M,3.0
Hou XN_2024_IEEE T SEMICONDUCT M,Yu JB_2022_IEEE T IND INFORM,3.0
Banerjee S_2013_ICCAD-IEEE ACM INT,Yang HY_2020_IEEE T COMPUT AID D,3.0
He KM_2016_PROC CVPR IEEE,Yu JB_2022_IEEE T IND INFORM,3.0
He KM_2016_PROC CVPR IEEE,Wu MJ_2015_IEEE T SEMICONDUCT M,3.0
Fan SKS_2024_INT J PROD ECON,Nag S_2022_COMPUT IND,3.0
Deng J_2009_PROC CVPR IEEE,Dosovitskiy A_2021_Arxiv,3.0
Caron M_2021_2021 IEEE/CVF INTERNATIONAL CONFERENCE ON COMPUTER VISION (ICCV 2021),Gunn SR_1997_IEEE T PATTERN ANAL,3.0
Gao JR_2014_DES AUT CON,Su YH_2016_IEEE T COMPUT AID D,3.0
Chan TF_2001_IEEE T IMAGE PROCESS,Gunn SR_1997_IEEE T PATTERN ANAL,3.0
Dosovitskiy A_2021_Arxiv,Saqlain M_2020_IEEE T SEMICONDUCT M,3.0
Chen SH_2024_EXPERT SYST APPL,Dosovitskiy A_2021_Arxiv,3.0
Howard AG_2017_Arxiv,Liu Z_2021_2021 IEEE/CVF INTERNATIONAL CONFERENCE ON COMPUTER VISION (ICCV 2021),3.0
Fan SKS_2024_INT J PROD ECON,Yu JB_2022_IEEE T IND INFORM,3.0
Chen R_2019_PROCEEDINGS OF THE 2019 56TH ACM/EDAC/IEEE DESIGN AUTOMATION CONFERENCE (DAC),Jiang YY_2021_IEEE T COMPUT AID D,3.0
Cheon S_2019_IEEE T SEMICONDUCT M,Nakazawa T_2018_IEEE T SEMICONDUCT M,3.0
Gunn SR_1997_IEEE T PATTERN ANAL,Peng SD_2020_PROC CVPR IEEE,3.0
COOTES TF_1995_COMPUT VIS IMAGE UND,Caron M_2021_2021 IEEE/CVF INTERNATIONAL CONFERENCE ON COMPUTER VISION (ICCV 2021),3.0
Gao JR_2014_DES AUT CON,Yang HY_2020_IEEE T COMPUT AID D,3.0
Caron M_2021_2021 IEEE/CVF INTERNATIONAL CONFERENCE ON COMPUTER VISION (ICCV 2021),NAJMAN L_1994_SIGNAL PROCESS,3.0
Devlin J_2019_2019 CONFERENCE OF THE NORTH AMERICAN CHAPTER OF THE ASSOCIATION FOR COMPUTATIONAL LINGUISTICS: HUMAN LANGUAGE TECHNOLOGIES (NAACL HLT 2019),Vaswani A_2017_ADV NEUR IN,3.0
Dosovitskiy A_2021_Arxiv,Yu JB_2019_COMPUT IND,3.0
Dosovitskiy A_2021_Arxiv,Wang A_2024_Arxiv,3.0
Cheon S_2019_IEEE T SEMICONDUCT M,Wu MJ_2015_IEEE T SEMICONDUCT M,3.0
Caron M_2021_2021 IEEE/CVF INTERNATIONAL CONFERENCE ON COMPUTER VISION (ICCV 2021),Juan Olivier._2006_P CVPR,3.0
Castrejón L_2017_PROC CVPR IEEE,Juan Olivier._2006_P CVPR,3.0
Chen J._2021_arXiv,Ronneberger O_2015_LECT NOTES COMPUT SC,3.0
Chan TF_2001_IEEE T IMAGE PROCESS,Juan Olivier._2006_P CVPR,3.0
Fan SKS_2024_INT J PROD ECON,Yu NG_2023_CAAI T INTELL TECHNO,3.0
Alawieh MB_2020_DES AUT CON,Yu JB_2022_IEEE T IND INFORM,3.0
Dosovitskiy A_2021_Arxiv,Yu NG_2019_IEEE T SEMICONDUCT M,3.0
Chan TF_2001_IEEE T IMAGE PROCESS,Siméoni O_2021_Arxiv,3.0
Alawieh MB_2020_DES AUT CON,Yu NG_2023_CAAI T INTELL TECHNO,3.0
Hendrycks D_2020_Arxiv,Mehta S_2022_Arxiv,3.0
Hou XN_2024_IEEE T SEMICONDUCT M,Nag S_2022_COMPUT IND,3.0
COOTES TF_1995_COMPUT VIS IMAGE UND,Castrejón L_2017_PROC CVPR IEEE,3.0
Boykov Y_2006_INT J COMPUT VISION,Siméoni O_2021_Arxiv,3.0
