work_id,title,authors,year,journal,doi,doc_type,cited_by_count
WOS:001492672100002,Hardware Trojan detection based on graph neural networks,"Xiao, W Wang, TM Li, Q Zhao, FZ",2025,INTEGRATION-THE VLSI JOURNAL,10.1016/j.vlsi.2025.102432,Article,1
WOS:001555079000006,MT-Former: Multi-Task Hybrid Transformer and Deep Support Vector Data Description to Detect Novel anomalies during Semiconductor Manufacturing,"Jeong, H Yoon, C Lim, H Chang, J Misra, S Kim, C",2025,LIGHT-ADVANCED MANUFACTURING,10.37188/lam.2025.032,Article,1
WOS:001141870700027,Enhanced Cross-Modal Transformer Model for Video Semantic Similarity Measurement,"Li, D Zhu, BQ Xu, KL Yang, S Feng, DW Liu, B Wang, HM",2024,IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS II-EXPRESS BRIEFS,10.1109/TCSII.2023.3302801,Article,1
WOS:001622773400009,LiTformer: Efficient Signal Integrity Analysis for High-Speed Link Transmitters Using Non-Autoregressive Transformer,"Sun, SY Dong, X Sha, YL Sun, Q Chen, Q Jin, Z Zhuo, C",2025,IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS,10.1109/TCAD.2025.3571314,Article,1
WOS:001489666400034,SEM Deep Learning Multiclass Noise Level Classification With Data Augmentation,"Lew, KL Sim, KS Tan, SC",2025,IEEE ACCESS,10.1109/ACCESS.2025.3567974,Article,1
WOS:000717619000029,Modeling and Integrating Losses of Magnetic Components Into Time-Domain Electric Circuit Simulations,"Djekanovic, N Luo, M Dujic, D",2020,2020 IEEE 9TH INTERNATIONAL POWER ELECTRONICS AND MOTION CONTROL CONFERENCE (IPEMC2020-ECCE ASIA),10.1109/IPEMC-ECCEAsia48364.2020.9367883,Proceedings Paper,1
WOS:001569915500001,High-Precision Dynamic Tracking Control Method Based on Parallel GRU-Transformer Prediction and Nonlinear PD Feedforward Compensation Fusion,"Wang, YM Wang, JJ Gao, K Xing, JP Liu, B",2025,MATHEMATICS,10.3390/math13172759,Article,1
WOS:001514038500004,Comprehensive application of denoising diffusion probabilistic models towards the automation of analog integrated circuit sizing,"de Azevedo, FP Lourenço, NCC Martins, RMF",2025,EXPERT SYSTEMS WITH APPLICATIONS,10.1016/j.eswa.2025.128414,Article,1
WOS:001586516400049,A Path Statistical Delay Prediction Framework Based on Global Graph Neural Network,"Guo, JJ Ning, XJ Hua, CF Yang, J Cai, ZK",2025,IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS I-REGULAR PAPERS,10.1109/TCSI.2025.3542438,Article,1
WOS:000800559506065,Learning from Failures in Large Scale Soft Sensing,"Zhang, C Yella, J Huang, Y Bom, S",2021,2021 IEEE INTERNATIONAL CONFERENCE ON BIG DATA (BIG DATA),10.1109/BigData52589.2021.9671366,Proceedings Paper,1
